,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
711,716,Nill,South,STR,Nawabshah,Nawabshah City Exchange,Nawabshah City Exchange,Housing Soceity Nawabshah,9950-3G-S-3362-,26.24897,68.39352,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 04,FDH 2001,,FDH2001,,,,,,
712,717,Nill,South,STR,Nawabshah,Nawabshah City Exchange,Nawabshah City Exchange,Professor Colony Nawabshah,1616-3G-S-1818-,26.226805,68.36123,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH2005,,,,,,
713,718,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,2327-3G-N-1543-,32.99381,70.61448,Yes,Fiberized,Covered,-,-,FDH-205 near FAT-47 distane 280 m,Fiberized,,,,,,,,
714,719,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,N-4050-3G-N-2066-,32.98875,70.61332,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
715,720,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,6625-3G-N-1574-,32.99485,70.62479,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
716,721,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,N-5121-3G-N-2369-,32.9927,70.6195,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
717,722,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,6602-3G-N-4133-,32.98673,70.618,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
718,723,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,8586-3G-N-1587-,32.9832,70.61301,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
719,724,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,2326-3G-N-4100-,32.97935,70.6174,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
720,725,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,6672-3G-N-4141-,32.98135,70.62303,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
721,726,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,N-4765-3G-N-4248-,32.97437,70.62309,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
722,727,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,N-4448-3G-N-2707-,32.97026,70.62715,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
723,728,Nill,North,NTR-2,Bannu,Bannu,Bannu,Bannu City,6673-3G-N-4142-,32.98275,70.63319,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
724,729,Nill,North,NTR-1,Risalpur,Rislapur,Rislapur,PTCL Risalpur Exchange,2941-3G-N-1571-,34.05733,72.00713,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH 101,,,,,,
725,730,Nill,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,3159-3G-CI-1576-,31.53066,74.34297,Yes,Non Fiberized,Not Covered,-,-,-,Not Feasible/Does not Exist,,,,,,,,
726,731,Nill,Central,LTR-S,Lahore,Gulberg,Gulberg,Gulberg 1,3158-3G-CI-4042-4G-CI-124042,31.51575,74.33582,Yes,Non Fiberized,Not Covered,-,-,-,Not Feasible/Does not Exist,,,,,,,,
727,732,Nill,Central,GTR,Phalia,Phalia,Phalia,Phalia,7860,32.4256600001896,73.5759610001121,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 101,,,,,,
728,733,Nill,Central,GTR,Phalia,Phalia,Phalia,Phalia,CI-1148-3G-CI-3884,32.4310599998805,73.5739599999554,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 103,,,,,,
