,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
164,165,Yes,North,HTR,Abbottabad,Central Abbottabad,Central Abbottabad,Public Sch/Gulistan Colony/DHQ Hosp/Askari Flat/Cantt Plaza/Malikpura/Simla Pahari,,,,,,,,,Nill,Nill,,,,,,,,
165,166,Yes,North,HTR,Abbottabad,Central Abbottabad,Central Abbottabad,Public Sch/Gulistan Colony/DHQ Hosp/Askari Flat/Cantt Plaza/Malikpura/Simla Pahari,,,,,,,,,Nill,Nill,,,,,,,,
166,167,Yes,North,HTR,Abbottabad,Central Abbottabad,Central Abbottabad,Public Sch/Gulistan Colony/DHQ Hosp/Askari Flat/Cantt Plaza/Malikpura/Simla Pahari,,,,,,,,,Nill,Nill,,,,,,,,
167,168,Yes,Central,FTR,Jhang,Chiniot,Chiniot,Chiniot,,,,,,,,,Nill,Nill,,,,,,,,
168,169,Yes,North,NTR-1,Peshawar City,City Peshawar,G.T. Road Peshawar,Peshawar Garden and New City Home,,,,,,,,,Nill,Nill,,,,,,,,
169,170,Yes,North,NTR-1,Peshawar City,City Peshawar,Warsak Road,Warsak Rd.,,,,,,,,,Nill,Nill,,,,,,,,
170,171,Yes,North,NTR-1,Peshawar City,City Peshawar,Warsak Road,Warsak Rd.,,,,,,,,,Nill,Nill,,,,,,,,
171,172,Yes,North,NTR-1,Peshawar City,City Peshawar,Warsak Road,Warsak Rd.,,,,,,,,,Nill,Nill,,,,,,,,
172,173,Yes,South,QTR,Quetta,City Quetta,City Quetta,Gulistan Town,,,,,,,,,Nill,Nill,,,,,,,,
173,174,Yes,South,KTR-1,Karachi,Clifton,Clifton,"Clifton Block 8, 9",,,,,,,,,Nill,Nill,0,,,,,,,
174,175,Yes,South,KTR-1,Karachi,Clifton,Clifton,"Clifton Block 8, 9",,,,,,,,,Nill,Nill,0,,,,,,,
175,176,Yes,South,KTR-1,Karachi,Clifton,Clifton,"Clifton Block 8, 9",,,,,,,,,Nill,Nill,0,,,,,,,
176,177,Yes,North,NTR,DIK ,CTX D.I.Khan,CTX D.I.Khan,DIK Main City,,,,,,,,,Nill,Nill,,,,,,,,
177,178,Yes,North,NTR,DIK ,CTX D.I.Khan,CTX D.I.Khan,DIK Main City,,,,,,,,,Nill,Nill,,,,,,,,
178,179,Yes,North,NTR,DIK ,CTX D.I.Khan,CTX D.I.Khan,DIK Main City,,,,,,,,,Nill,Nill,,,,,,,,
179,180,Yes,Central,GTR,Gujranwala ,CTX Gujranwala,CTX Gujranwala,Capri Cinema,,,,,,,,,Nill,Nill,,,,,,,,
180,181,Yes,Central,SLTR,Gujrat,CTX Gujrat,Awan Shrief Road,"Islam Nagar, Asghar Town, Shalimar Town",,,,,,,,,Nill,Nill,,,,,,,,
181,182,Yes,Central,CTR,Sahiwal,CTX Sahiwal,Sahiwal Rural,Canal Colony,,,,,,,,,Nill,Nill,,,,,,,,
182,183,Yes,Central,CTR,Sahiwal,CTX Sahiwal,Sahiwal Rural,Dubai Garden,Nil,,,,,,,,Nill,Nill,,,,,,,,
183,184,Yes,Central,CTR,Sahiwal,CTX Sahiwal,Sahiwal Rural,Hussain Colony,,,,,,,,,Nill,Nill,,,,,,,,
184,185,Yes,Central,CTR,Sahiwal,CTX Sahiwal,Sahiwal Rural,Hussain Colony,,,,,,,,,Nill,Nill,,,,,,,,
185,186,Yes,Central,SLTR,Sialkot,CTX Sialkot,CTX Sialkot,Poran Nagar,,,,,,,,,Nill,Nill,,,,,,,,
186,187,Yes,Central,SLTR,Sialkot,CTX Sialkot,CTX Sialkot,Poran Nagar,,,,,,,,,Nill,Nill,,,,,,,,
187,188,Yes,Central,SLTR,Sialkot,CTX Sialkot,CTX Sialkot,Poran Nagar,,,,,,,,,Nill,Nill,,,,,,,,
188,189,Yes,Central,SLTR,Sialkot,CTX Sialkot,CTX Sialkot,Poran Nagar,,,,,,,,,Nill,Nill,,,,,,,,
189,190,Yes,Central,LTR-N,Lahore,DHA Lahore,Guldasht ,DHA Lahore Additional (Phase-8 Air Avenue),7014-3G-CI-1015-,31.51164,74.43923,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
190,191,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,"DHA PH-6 (A, B, C, H)",,,,,,,,,Nill,Nill,,,,,,,,
191,192,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Divine Gardens,"Under Same Polygon of ""Khuda Buksh Colonny"" S. No. 23",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,0,,,,,,,
192,193,Yes,North,ITR,Rawalpindi,Dhok Syedan,Dhok Syedan,Dhoke Sayedan,2061-3G-N-1190-4G-N-111190,33.57365,73.03806,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 103 DOKH SAYEDAN FAT-53,,FDH 103 DOKH SAYEDAN FAT-53,,,,,,
193,194,Yes,North,ITR,Rawalpindi,Dhok Syedan,Dhok Syedan,Dhoke Sayedan,,,,,,,,,Nill,Nill,,,,,,,,
194,195,Yes,North,ITR,Rawalpindi,Dhok Syedan,Dhok Syedan,Dhoke Sayedan,,,,,,,,,Nill,Nill,,,,,,,,
195,196,Yes,North,ITR,Rawalpindi,Dhok Syedan,Dhok Syedan,Dhoke Sayedan,,,,,,,,,Nill,Nill,,,,,,,,
196,197,Yes,North,RTR,Dina,EXCHDina,Mangla,Mangla Power House Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
197,198,Yes,North,ITR,Islamabad,F-8,F-8,"G-9 (1,2,3,4)",8034-3G-N-1057-4G-N-111057,33.68821,73.0261,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 813 G-9 Islamabad FAT-60,,FDH 813 FAT-60 G-9 Islamabad ,,,,,,
198,199,Yes,North,ITR,Islamabad,F-8,F-8,"G-9 (1,2,3,4)",8060-3G-N-1068-4G-N-111068,33.68531,73.03846,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 806 G-9 Islamabad  FAT-03,,FDH 806 FAT-03 G-9 Islamabad  ,,,,,,
199,200,Yes,North,ITR,Islamabad,F-8,F-8,"G-9 (1,2,3,4)",N-4665-3G-N-1956-4G-N-111956,33.6865,73.04239,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 805 G-9 Islamabad  FAT-27,,FDH 805 FAT-27 G-9 Islamabad  ,,,,,,
200,201,Yes,North,ITR,Islamabad,F-8,F-8,"G-9 (1,2,3,4)",8004-3G-N-1045-4G-N-111045,33.68588,73.04528,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 803 G-9 Islamabad  FAT-32,,FDH 803  FAT-32 G-9 Islamabad ,,,,,,
201,202,Yes,North,ITR,Islamabad,F-8,F-8,"G-9 (1,2,3,4)",8385--,33.6827,73.0409,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
202,203,Yes,Central,LTR-S,Lahore,Ferozepur Road,DHA Lahore ZTE,"Statelife, Banker Society",7154-3G-CI-1020-4G-CI-121020,31.44776,74.39835,Yes,Fiberized,Covered,-,-,-,Completed,,Fiberized,,,,,,
203,204,Yes,Central,LTR-N,Lahore,Ferozepur Road,DHA Lahore ZTE,"Statelife, Banker Society",,,,,,,,,Nill,Nill,,,,,,,,
204,205,Yes,Central,LTR-S,Lahore,Ferozepur Road,Ferozepur Road,"Venus Housing Society & Shadab Colony, PaK Arab (Addition)",7992-3G-CI-4474-4G-CI-124474,31.4353,74.35309,Yes,Fiberized,Covered,Feasibility From Nearest NAP,-,-,Completed,,Fiberized,,,,,,
205,206,Yes,North,RTR,Gujjar Khan,Gujjar Khan,Gujjar Khan,Main Bazar/GPO/DSP Office/Hayat Ser Road /Gulyana More/Dulmi Gujar Khan,,,,,,,,,Nill,Nill,,,,,,,,
206,207,Yes,North,RTR,Gujjar Khan,Gujjar Khan,Gujjar Khan,Chihal & Mankiala Gujar Khan,,,,,,,,,Nill,Nill,,,,,,,,
207,208,Yes,North,RTR,Gujjar Khan,Gujjar Khan,Gujjar Khan,Chihal & Mankiala Gujar Khan,,,,,,,,,Nill,Nill,,,,,,,,
208,209,Yes,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Gulistan e Johar Extension,,,,,,,,,Nill,Nill,0,,,,,,,
209,210,Yes,South,KTR-2,Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar,Gulistan e Johar Extension,,,,,,,,,Nill,Nill,0,,,,,,,
210,211,Yes,South,QTR,Gawadar,Gwadar,Gwadar,Gawadar TTC Colony,,,,,,,,,Nill,Nill,,,,,,,,
211,212,Yes,Central,GTR,Hafizabad,Hafizabad,Hafizabad,Model Park,,,,,,,,,Nill,Nill,,,,,,,,
212,213,Yes,North,HTR,Haripur,Haripur,Haripur,PTCL Staff College Haripur,Nil,,,,,,,,Nill,Nill,,,,,,,,
213,214,Yes,North,ITR,Islamabad,I-10,I-10,I-9/4,,,,,,,,,Nill,Nill,,,,,,,,
214,215,Yes,North,ITR,Islamabad,I-10,I-10,I-9/4,,,,,,,,,Nill,Nill,,,,,,,,
215,216,Yes,Central,FTR,Faisalabad,Jhang Road,Jhang Road,Nazimabad ,,,,,,,,,Nill,Nill,,,,,,,,
216,217,Yes,Central,FTR,Faisalabad,Jhang Road,Jhang Road,Nazimabad ,,,,,,,,,Nill,Nill,,,,,,,,
217,218,Yes,Central,LTR-S,Lahore,Johar Town,Faisal town,Johar Town Block A & B,CI-1641-3G-CI-1885-4G-CI-121885,31.4612,74.29797,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
218,219,Yes,Central,LTR-S,Lahore,Johar Town,Faisal town,Johar Town Block A & B,,,,,,,,,Nill,Nill,,,,,,,,
219,220,Yes,North,NTR-2,Peshawar,Khyber,Khyber,Tajabad,,,,,,,,,Nill,Nill,,,,,,,,
220,221,Yes,South,KTR-1,Karachi,Korangi,Korangi,Lucknow Society,9282-3G-S-3631-4G-S-143631,24.82918,67.12129,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-7 Lucknow,,,,,,,,
221,222,Yes,South,KTR-1,Karachi,Korangi,Korangi,Lucknow Society,,,,,,,,,Nill,Nill,0,,,,,,,
222,223,Yes,South,KTR-1,Karachi,Korangi,Korangi,Lucknow Society,,,,,,,,,Nill,Nill,0,,,,,,,
223,224,Yes,South,KTR-1,Karachi,Korangi,Korangi,Lucknow Society,,,,,,,,,Nill,Nill,0,,,,,,,
224,225,Yes,South,KTR-1,Karachi,Korangi,Korangi,Lucknow Society,,,,,,,,,Nill,Nill,0,,,,,,,
225,226,Yes,South,HyTR,HYDERABAD,Kotri,PAF bolari,PAF Bolari,Nil,,,,,,,,Nill,Nill,0,,,,,,,
226,227,Yes,South,STR,Larkana,Larkana,Larkana,Ataturk Tower,Nil,,,,,,,,Nill,Nill,,,,,,,,
227,228,Yes,North,NTR-1,Swat,Makan Bagh,Makan Bagh,Saidu Shareef,2381-3G-N-4673-,34.77032,72.33927,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 301 FAT nearest 250M,,,,,,,,
228,229,Yes,North,NTR-1,Swat,Makan Bagh,Makan Bagh,Saidu Shareef,6723--,34.77192,72.35126,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 302 FAT nearest 150M,,,,,,,,
229,230,Yes,North,NTR-1,Swat,Makan Bagh,Makan Bagh,Saidu Shareef,8516-3G-N-4686-,34.76488,72.35941,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 303 FAT nearest 50M,,,,,,,,
230,231,Yes,North,NTR-1,Swat,Makan Bagh,Makan Bagh,Saidu Shareef,2340-3G-N-1884-,34.77598,72.36751,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,"FDH 202 Gumbat Mera & FDH-203 Raj Abad Mingora, Nearest FAT 50 meters",,,,,,,,
231,232,Yes,North,NTR-I,,Makan Bagh,Makan Bagh,Saidu Shareef,,,,,,,,,Nill,Nill,,,,,,,,
232,233,Yes,North,NTR-I,,Makan Bagh,Makan Bagh,Saidu Shareef,,,,,,,,,Nill,Nill,,,,,,,,
233,234,Yes,North,NTR-I,,Makan Bagh,Makan Bagh,Saidu Shareef,,,,,,,,,Nill,Nill,,,,,,,,
234,235,Yes,North,NTR-I,,Makan Bagh,Makan Bagh,Saidu Shareef,,,,,,,,,Nill,Nill,,,,,,,,
235,236,Yes,South,KTR-2,Karachi,Malir Cantt,Malir Cantt,PAF HOUSING SCHEME,"Under Same Polygon of ""Cantt Bazaar Malir"" S. No. 45",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,Not Fiberized,,,,,,,
236,237,Yes,Central,LTR-S,Lahore,Mustafa Town,Mustafa Town,B&C Block Tech Society,7383-3G-CI-4607-,31.48922,74.28335,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,,,,,,,,
237,238,Yes,North,ITR,Islamabad,Naval Anchorage,Naval Anchorage,Naval Anchorage (Ring-1),,,,,,,,,Nill,Nill,,,,,,,,
238,239,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block N,,,,,,,,,Nill,Nill,0,,,,,,,
239,240,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block G,,,,,,,,,Nill,Nill,0,,,,,,,
240,241,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block G,,,,,,,,,Nill,Nill,0,,,,,,,
241,242,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block G,,,,,,,,,Nill,Nill,0,,,,,,,
242,243,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block G,,,,,,,,,Nill,Nill,0,,,,,,,
243,244,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block G,,,,,,,,,Nill,Nill,0,,,,,,,
244,245,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block F,"Under Same Polygon of ""Block G"" S. No. 146",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,Not Fiberized,,,,,,,
245,246,Yes,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block A (NZD),"Under Same Polygon of ""Block G"" S. No. 146",,,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,Not Fiberized,,,,,,,
246,247,Yes,Central,CTR,Okara,Okara,Okara,FDH 576 Fateh Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
247,248,Yes,North,NTR-2,PARACHINAR,Parachinar,Parachinar,PARACHINAR,N-4174-3G-N-2341-,33.90058,70.09909,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 101 Parachinar City,,,,,,,,
248,249,Yes,North,NTR-2,PARACHINAR,Parachinar,Parachinar,PARACHINAR,N-4173--,33.88559,70.11292,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 201 parahinar road ,,,,,,,,
249,250,Yes,North,NTR-2,PARACHINAR,Parachinar,Parachinar,PARACHINAR,,,,,,,,,Nill,Nill,,,,,,,,
250,251,Yes,North,NTR-2,PARACHINAR,Parachinar,Parachinar,PARACHINAR,,,,,,,,,Nill,Nill,,,,,,,,
251,252,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",9296-3G-S-3094-4G-S-143094,24.868106,67.080886,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1503,,,,,,,,
252,253,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",9059-3G-S-2390-4G-S-142390,24.87861,67.08218,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 1402,,FDH-1402,,,,,,
253,254,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",9297-3G-S-2501-4G-S-142501,24.87696,67.08585,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1301,,,,,,,,
254,255,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",9258-3G-S-4794-4G-S-144794,24.87903,67.0878,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Nill,,,,,,,,
255,256,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",6407-3G-S-2318-4G-S-142318,24.88591,67.08721,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-1304,,,,,,,,
256,257,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",,,,,,,,,Nill,Nill,0,,,,,,,
257,258,Yes,South,KTR-2,Karachi,PECHS,PECHS,"ADAM JEE, BANGLORE TOWN, SHABIRABAD",,,,,,,,,Nill,Nill,0,,,,,,,
258,259,Yes,South,KTR-2,Karachi,PECHS,PECHS,"CP & Berar Cooperative Society, Hill Park Avenue, KDA Scheme-1","Under Same Polygon of ""ADAM JEE, BANGLORE TOWN, SHABIRABAD"" S. No. 151",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,Not Fiberized,,,,,,,
259,260,Yes,South,KTR-2,Karachi,PECHS,PECHS,"Jinnah Housing Colony, MUHAMMAD ALI SCOCIETY","Under Same Polygon of ""ADAM JEE, BANGLORE TOWN, SHABIRABAD"" S. No. 151",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,Not Fiberized,,,,,,,
260,261,Yes,South,KTR-2,Karachi,PECHS,PECHS,"Darul Amaan, Memon Society ","Under Same Polygon of ""ADAM JEE, BANGLORE TOWN, SHABIRABAD"" S. No. 151",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,Not Fiberized,,,,,,,
261,262,Yes,Central,GTR,Gujranwala ,Peoples Colony Gujranwala,Peoples Colony Gujranwala,"People's Colony Sector W, X , Y , Z",CI-1693-3G-CI-1942-,32.13974,74.21008,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
262,263,Yes,Central,GTR,Gujranwala ,Peoples Colony Gujranwala,Peoples Colony Gujranwala,"People's Colony Sector W, X , Y , Z",3906-3G-CI-1955-,32.14616,74.21616,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
263,264,Yes,Central,GTR,Gujranwala ,Peoples Colony Gujranwala,Peoples Colony Gujranwala,"People's Colony Sector W, X , Y , Z",,,,,,,,,Nill,Nill,,,,,,,,
264,265,Yes,Central,FTR,Faisalabad,Samanabad,Samanabad,Tanki wali ground Block 44 45 Samanabad,,,,,,,,,Nill,Nill,,,,,,,,
265,266,Yes,South,QTR,Quetta,Samungly,Samungly,Eman Housing Society,Nil,,,,,,,,Nill,Nill,,,,,,,,
266,267,Yes,Central,FTR,Faisalabad,Sargodha Road,Sargodha Road,"WOODBURRY PHASE-1 & 2, SHADMAN TOWN",Nil,,,,,,,,Nill,Nill,,,,,,,,
267,268,Yes,Central,FTR,Faisalabad,Sargodha Road,Sargodha Road,Gulistan Colony,-3G-CII-3012-,31.4486,73.0961,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 201 PAT Done Apr 23 2024,,,,,,,,
268,269,Yes,North,ITR,Rawalpindi,Satellite Town,Satellite Town,E Block Satellite Town,,,,,,,,,Nill,Nill,,,,,,,,
269,270,Yes,Central,GTR,,Site Gujranwala,Site Gujranwala,Wafi Block,Nil,,,,,,,,Nill,Nill,,,,,,,,
270,271,Yes,North,ITR,Islamabad,Soan Garden,Soan Garden,CBR-PH-1,,,,,,,,,Nill,Nill,,,,,,,,
271,272,Yes,North,NTR-2,TANK,Tank,Tank,TANK,,,,,,,,,Nill,Nill,,,,,,,,
272,273,Yes,North,NTR-2,TANK,Tank,Tank,TANK,,,,,,,,,Nill,Nill,,,,,,,,
273,274,Yes,North,NTR-2,TANK,Tank,Tank,TANK,,,,,,,,,Nill,Nill,,,,,,,,
274,275,Yes,North,NTR-2,TANK,Tank,Tank,TANK,,,,,,,,,Nill,Nill,,,,,,,,
275,276,Yes,North,ITR,Islamabad,Tarlai,Hummak,Hummak Residential Area,,,,,,,,,Nill,Nill,,,,,,,,
276,277,Yes,North,ITR,Rawalpindi,Tarnol,Westridge,Yousuf Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
277,278,Yes,Central,LTR-S,Lahore,Thokar Niaz Baig,Thokar Niaz Baig,DHA Lahore Additional (EME),,,,,,,,,Nill,Nill,,,,,,,,
278,279,Yes,Central,FTR,Toba Tek Singh,Toba Tek Singh ,Toba Tek Singh ,Housing Colony No. 1 TTS,Nil,,,,,,,,Nill,Nill,,,,,,,,
279,280,Yes,Central,FTR,Toba Tek Singh,Toba Tek Singh ,Toba Tek Singh ,Housing Colony No. 2 TTS,,,,,,,,,Nill,Nill,,,,,,,,
280,281,Yes,South,QTR,Turbat,Turbat,Turbat,C4 Commisionary (B & R Colony),,,,,,,,,Nill,Nill,,,,,,,,
281,282,Yes,North,RTR,Taxila ,Wah Cantt,New City Phase 1 Indoor MSAG Room,New City Phase-1,Nil,,,,,,,,Nill,Nill,,,,,,,,
282,283,Yes,North,RTR,Taxila ,Wah Cantt,New City Taxila,New City ph2 Remaining,Nil,,,,,,,,Nill,Nill,,,,,,,,
283,284,Yes,North,RTR,Taxila ,Wah Cantt,Wah Cantt ,POF,,,,,,,,,Nill,Nill,,,,,,,,
284,285,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,Wapda Town,"Under Same Polygon of ""Wapda Town"" S. No. 54, 55, 56, 57",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,0,,,,,,,
285,286,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,NESPAK,CI-1638-3G-CI-1882-,31.435329,74.28038,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
286,287,Yes,Central,LTR-S,Lahore,Wapda Town,Garden Town,Model Town Block F&G,7040-3G-CI-4053-4G-CI-124053,31.47326,74.32101,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
287,288,Yes,Central,LTR-S,Lahore,Wapda Town,Garden Town,Model Town Block F&G,,,,,,,,,Nill,Nill,,,,,,,,
288,289,Yes,Central,LTR-S,Lahore,Wapda Town,Garden Town,Model Town Block F&G,,,,,,,,,Nill,Nill,,,,,,,,
289,290,Yes,South,HYTR,Hyderabad,Latifabad,Latifabad,Auto Band Road,,,,,,,,,Nill,Nill,0,,,,,,,
290,291,Yes,Central,LTR-N,Lahore,Ferozepur Road,DHA Lahore ZTE,"Statelife, Banker Society, Hashim Town (Extension)",Nil,,,,,,,,Nill,Nill,,,,,,,,
291,292,Yes,Central,GTR,Gujranwala ,Lohianwala,Lohianwala,Ehtisham Colony,,,,,,,,,Nill,Nill,,,,,,,,
292,293,Yes,Central,GTR,Gujranwala ,Lohianwala,Lohianwala,Ehtisham Colony,,,,,,,,,Nill,Nill,,,,,,,,
293,294,Yes,Central,GTR,Gujranwala ,Lohianwala,Lohianwala,Faisal Town,"Under Same Polygon of ""Ehtisham Colony"" S. No. 183",,,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,0,,,,,,,
294,295,Yes,North,NTR-1,Mardan,Mardan,Mardan (Indoor Location),Green Acres Town,,,,,,,,,Nill,Nill,,,,,,,,
295,296,Yes,South,HYTR,Hyderabad,Qasimabad,Qasimabad Hyderabad,"Qasimabad Sindhi Muslim Society, Indus Colony (Ring-1)",,,,,,,,,Nill,Nill,0,,,,,,,
296,297,Yes,South,HYTR,Hyderabad,Qasimabad,Qasimabad Hyderabad,"Qasimabad Sindhi Muslim Society, Indus Colony (Ring-1)",,,,,,,,,Nill,Nill,0,,,,,,,
297,298,Yes,South,HYTR,Hyderabad,Qasimabad,Qasimabad Hyderabad,"Qasimabad Sindhi Muslim Society, Indus Colony (Ring-1)",,,,,,,,,Nill,Nill,0,,,,,,,
298,299,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence/Shahbaz Commercial/Jami Commercial,1983-3G-S-2268-4G-S-142268,30.21822,66.98533,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
299,300,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence/Shahbaz Commercial/Jami Commercial,S-7249-3G-S-1532-,30.21773,66.9911,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
300,301,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence/Shahbaz Commercial/Jami Commercial,1378-3G-S-2227-4G-S-142227,30.21666,66.99441,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
301,302,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence/Shahbaz Commercial/Jami Commercial,1403-3G-S-3318-4G-S-143318,30.22053,67.00258,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
302,303,Yes,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence/Shahbaz Commercial/Jami Commercial,S-3801-3G-S-4600-4G-S-144600,30.21054,66.99967,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
303,304,Yes,South,HYTR,Hyderabad,Site Hyderabad,Site Hyderabad,"Site Hyderabad, Gulshan e Zeel Pak, Gulshan e Muslim",,,,,,,,,Nill,Nill,0,,,,,,,
304,305,Yes,North,ITR,Islamabad,Soan Garden,Soan Garden,SOAN GARDEN,,,,,,,,,Nill,Nill,,,,,,,,
305,306,Yes,North,ITR,Islamabad,Soan Garden,Soan Garden,SOAN GARDEN,,,,,,,,,Nill,Nill,,,,,,,,
306,307,Yes,North,ITR,Islamabad,Soan Garden,Soan Garden,SOAN GARDEN,,,,,,,,,Nill,Nill,,,,,,,,
307,308,Yes,Central,SLTR,Sialkot,Site Sialkot,Site Sialkot,Hajipura,3402-3G-CI-4152-4G-CI-124152,32.48678,74.51718,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FAT is connected directly from OLT,,,,,,,,
308,309,Yes,Central,SLTR,Sialkot,Site Sialkot,Site Sialkot,Hajipura,,,,,,,,,Nill,Nill,,,,,,,,
309,310,Yes,Central,GTR,Gujranwala ,Site Gujranwala,SITE Gujranwala,Wapda Town (Remaining Scope),CI-1716-3G-CI-1126-,32.07054,74.19722,Yes,Non Fiberized,Not Covered,-,-,-,Out Of Area / not feasible,,,,,,,,
310,311,Yes,North,ITR,Rawalpindi,Cantt Rawalpindi,Cantt Rawalpindi,Askari-4,Nil,,,,,,,,Nill,Nill,,,,,,,,
311,312,Yes,South,KTR-2,Karachi,Pak Capital,PAK Capital,Aimanabad Housing Society,Nil,,,,,,,,Nill,Nill,0,,,,,,,
312,313,Yes,Central,FTR,Sargodha,CTX Sargodha,CTX Sargodha,Sargodha Garrison,Nil,,,,,,,,Nill,Nill,,,,,,,,
313,314,Yes,North,RTR,Taxila ,WAH CANTT,Wahadat Colony ,Alkaram Complex,Nil,,,,,,,,Nill,Nill,,,,,,,,
314,315,Yes,North,ITR,Rawalpindi,Cantt Rawalpindi,Cantt Rawalpindi,Askari-14,Nil,,,,,,,,Nill,Nill,,,,,,,,
